"Source:","C:\Users\felip\OneDrive\Documents\KiCad\SafetyPCB\SafetyPCB.kicad_sch"
"","","R4","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R5","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R6","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R7","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R8","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R9","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R10","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R11","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R12","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R13","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","RX1","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"","","S1","5-1437565-0","SafetyPCB-altium-import:0_5-1437565-0","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_FSM6JSMATR","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F5-1437565-0","7.26mm","","","TE Connectivity","5-1437565-0","506-5-1437565-0","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/5-1437565-0?qs=%2FwXgF%2FfIho9mO1nArmyR6A%3D%3D",""
"","","S2","5-1437565-0","SafetyPCB-altium-import:0_5-1437565-0","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_FSM6JSMATR","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F5-1437565-0","7.26mm","","","TE Connectivity","5-1437565-0","506-5-1437565-0","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/5-1437565-0?qs=%2FwXgF%2FfIho9mO1nArmyR6A%3D%3D",""
"","","TX1","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"","","U1","~","Sheet1-altium-import:0_LM1117IMPX-5.0_NOPB","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT230P700X180-4N","","LM1117IMPX-5.0/NOPB","https://www.arrow.com/en/products/lm1117impx-5.0nopb/texas-instruments","http://www.ti.com/lit/gpn/lm1117","1.8mm","","","Texas Instruments","LM1117IMPX-5.0/NOPB","926-LM1117IMPX50NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM1117IMPX-50-NOPB?qs=X1J7HmVL2ZGGwLlD0uGqKQ%3D%3D",""
"","","Y1","ECS-160-18-5PX-CKM-TR","SafetyPCB-altium-import:1_ECS-160-18-5PX-CKM-TR","ECS49205PXTR","","","","https://ecsxtal.com/store/pdf/csm-7x.pdf","4.3mm","","","ECS","ECS-160-18-5PX-CKM-TR","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ARROW PART NUMBER","ARROW PRICE/STOCK","DATASHEET LINK","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER"
"1","2","C1, C2","~","Sheet1-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"2","1","C3","C0603C104K3RACTU","SafetyPCB-altium-import:2_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"3","5","C4, C5, C6, C7, C8","C0603C104K3RACTU","SafetyPCB-altium-import:1_C0603C104K3RACTU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"4","2","C10, C11","C0603C104K3RACTU","SafetyPCB-altium-import:0_06035A200KAT2A","CAPC1608X95N","","C0603C104K3RACTU","https://www.arrow.com/en/products/c0603c104k3ractu/kemet-corporation","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.95mm","","","Kemet","C0603C104K3RACTU","80-C0603C104K3R","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104K3RACTU/?qs=l5k%252BbMnNDklvfdneglCDAg%3D%3D",""
"5","4","D1, D2, D3, D4","~","Sheet1-altium-import:3_S1A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_DIOM5227X270N","","S1A","https://www.arrow.com/en/products/s1a/on-semiconductor","http://www.onsemi.com/pub/Collateral/S1M-D.pdf","2.7mm","","","ON Semiconductor","S1A","512-S1A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/S1A/?qs=RJwZ8kJo1mjAagviH5vK9g%3D%3D",""
"6","1","F1","~","Sheet1-altium-import:0_0678H9100-02","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_FUSC9830X318N","","","","https://www.mouser.com/datasheet/2/643/Bel Fuse_02202018_0678H-1288534.pdf","3.18mm","","","Bel","0678H9100-02","530-0678H9100-02","",""
"7","1","IC1","ATMEGA328P-AU","SafetyPCB-altium-import:0_ATMEGA328P-AU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_QFP80P900X900X120-32N","","ATMEGA328P-AU","https://www.arrow.com/en/products/atmega328p-au/microchip-technology","https://componentsearchengine.com/Datasheets/2/ATMEGA328P-AU.pdf","1.2mm","","","Microchip","ATMEGA328P-AU","556-ATMEGA328P-AU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-AU?qs=K8BHR703ZXiCmmgp6%2FGNmQ%3D%3D",""
"8","1","IC2","FT232RL","SafetyPCB-altium-import:0_FT232RL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOP65P778X200-28N","","FT232RL","https://www.arrow.com/en/products/ft232rl/ftdi-chip","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","2mm","","","FTDI Chip","FT232RL","","",""
"9","2","J1, J2","~","Sheet1-altium-import:2_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"10","1","J3","~","Sheet1-altium-import:1_0430450200","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_43045-0200","","0430450200","https://www.arrow.com/en/products/0430450200/molex","http://www.molex.com/webdocs/datasheets/pdf/en-us//0430450200_PCB_HEADERS.pdf","","","","Molex","0430450200","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA",""
"11","2","J4, J5","~","Sheet1-altium-import:3_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"12","1","J6","2013499-1","SafetyPCB-altium-import:0_2013499-1","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_2013499-1","","2013499-1","https://www.arrow.com/en/products/2013499-1/te-connectivity","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2013499%7FB2%7Fpdf%7FEnglish%7FENG_CD_2013499_B2.pdf%7F2013499-1","","","","TE Connectivity","2013499-1","571-2013499-1","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/2013499-1/?qs=TL6PIybY3BOLK37GbUYdng%3D%3D",""
"13","1","J7","1719750003","SafetyPCB-altium-import:2_1719750003","171975YY03","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7mm","","","Molex","1719750003","","",""
"14","2","K1, K2","~","Sheet1-altium-import:1_1422037-2","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_14220372","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-98010&DocType=SS&DocLang=EN","11.7mm","","","TE Connectivity","1422037-2","655-1422037-2","https://www.mouser.com/Search/Refine.aspx?Keyword=655-1422037-2",""
"15","5","LED3, LED4, LED5, RX1, TX1","LTST-C191TBKT-5A","SafetyPCB-altium-import:1_LTST-C191TBKT-5A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_LEDC1608X65N","","LTST-C191TBKT-5A","https://www.arrow.com/en/products/ltst-c191tbkt-5a/lite-on-technology","http://www.mouser.com/ds/2/239/S_110_LTST-C191TBKT-5A-336399.pdf","0.65mm","","","Lite-On","LTST-C191TBKT-5A","859-LTST-C191TBKT-5A","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C191TBKT-5A/?qs=xb8aMrBSZRLgwF8AXHEbeQ%3D%3D",""
"16","1","NT1","~","Sheet1-altium-import:0_NetTie10","NetTie","","","","","","","","","","","",""
"17","1","P2","Header 3X2","SafetyPCB-altium-import:0_Header 3X2","HDR2X3","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited"
"18","4","Q1, Q2, Q3, Q4","~","Sheet1-altium-import:0_mirrored_BCW66GLT1G","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT95P237X111-3N","","BCW66GLT1G","https://www.arrow.com/en/products/bcw66glt1g/on-semiconductor","http://www.onsemi.com/pub/Collateral/BCW66GLT1-D.PDF","1.11mm","","","ON Semiconductor","BCW66GLT1G","863-BCW66GLT1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/BCW66GLT1G?qs=R2UZ7gjkEjKs0bN2RlXbWw%3D%3D",""
"19","4","R1, R2, R3, R4","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"20","5","R5, R6, R10, R11, R12","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"21","4","R7, R8, R9, R13","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"22","2","S1, S2","5-1437565-0","SafetyPCB-altium-import:0_5-1437565-0","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_FSM6JSMATR","","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2-1437565-7%7FV%7Fpdf%7FEnglish%7FENG_CD_2-1437565-7_V.pdf%7F5-1437565-0","7.26mm","","","TE Connectivity","5-1437565-0","506-5-1437565-0","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/5-1437565-0?qs=%2FwXgF%2FfIho9mO1nArmyR6A%3D%3D",""
"23","1","U1","~","Sheet1-altium-import:0_LM1117IMPX-5.0_NOPB","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT230P700X180-4N","","LM1117IMPX-5.0/NOPB","https://www.arrow.com/en/products/lm1117impx-5.0nopb/texas-instruments","http://www.ti.com/lit/gpn/lm1117","1.8mm","","","Texas Instruments","LM1117IMPX-5.0/NOPB","926-LM1117IMPX50NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM1117IMPX-50-NOPB?qs=X1J7HmVL2ZGGwLlD0uGqKQ%3D%3D",""
"24","1","Y1","ECS-160-18-5PX-CKM-TR","SafetyPCB-altium-import:1_ECS-160-18-5PX-CKM-TR","ECS49205PXTR","","","","https://ecsxtal.com/store/pdf/csm-7x.pdf","4.3mm","","","ECS","ECS-160-18-5PX-CKM-TR","","",""
